# BAM files: ~/data/SOC/SOC-2745-226696.bam, ~/data/SOC/SOC-2774-227362.bam, ~/data/SOC/SOC-5936-294158.bam, ~/data/SOC/SOC-6075-291944.bam, ~/data/SOC/SOC-6752-315581.bam, ~/data/SOC/SOC-7165-343100.bam, ~/data/SOC/SOC-7637-361542.bam, ~/data/SOC/SOC-7777-371281.bam, ~/data/SOC/SOC-8272-401299.bam, ~/data/SOC/SOC-11199-480891.bam, ~/data/SOC/SOC-849-206653.bam, ~/data/SOC/SOC-1255-501160.bam, ~/data/SOC/SOC-2427-221981.bam, ~/data/SOC/SOC-2674-224814.bam, ~/data/SOC/SOC-2742-225553.bam, ~/data/SOC/SOC-4808-260525.bam, ~/data/SOC/SOC-5439-266610.bam, ~/data/SOC/SOC-5606-277617.bam, ~/data/SOC/SOC-5653-277626.bam, ~/data/SOC/SOC-5691-278006.bam
# phenotypes: chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive
# total alignments: 14612031, 106336729, 18330606, 112217237, 14635266, 15379488, 12814697, 13461028, 17491779, 16221093, 14494734, 13801318, 14949521, 18045259, 17407390, 15334240, 14903259, 13804476, 18588809, 18601214
# annotations: /home/cwarth/R/x86_64-unknown-linux-gnu-library/3.0/qarp/python/hg19-refSeq-union.gtf
# gene count: 16897
# interactive: FALSE
# commandline: --genefile /home/cwarth/data/SOC/genelist.txt
# date: 2013-11-15 09:48:38
gene	raw	rpm	area
RPL13A:RPL13AP5:SNORD32A:SNORD33:SNORD34:SNORD35A	0.292	0.761	0.035
RPL13:SNORD68	0.038	0.307	0.237
PSAP	0.615	0.015	0.051
RPL6	0.189	0.726	0.163
RPS18	0.76	0.047	0.105
RPS24	0.709	0.656	0.083
ATHL1	0.242	0.462	0.036
DHFR:MTRNR2L2	0.425	0.152	0.184
CLU	0.168	0.764	0.013
CALR	0.453	0.037	0.07
ADAR	0.514	0.291	0.229
HSP90B1:MIR3652	0.699	0.032	0.135
ALDOA	0.209	0.451	0.072
RPL27A:SNORA3:SNORA45	0.132	0.642	0.173
UBC	0.084	0.054	0.011
LY6E	0.207	0.105	0.404
GNAS	0.293	0.676	0.041
RPS14	0.153	0.753	0.304
RPL37A	0.2	0.763	0.136
KRT8	0.61	0.031	0.022
APP	0.283	0.575	0.01
RPL37:SNORD72	0.373	0.502	0.021
ENO1	0.32	0.447	0.015
HSPA8	0.413	0.167	0.024
MX1	0.264	0.189	0.051
MIR1244-1:MIR1244-2:MIR1244-3:PTMA	0.49	0.012	0.125
MYH9	0.51	0.082	0.104
COL18A1	0.239	0.917	0.073
NEAT1	0.13	0.607	0.068
RNF213	0.276	0.102	0.073
RPL9	0.292	0.894	0.137
RPL10:SNORA70	0.132	0.527	0.054
RPS25	0.119	0.692	0.186
RPL23A:SNORD42A:SNORD42B:SNORD4A:SNORD4B	0.152	0.867	0.064
LDHB	0.776	0.248	0.278
FOS	0.205	0.269	0.007
PPIA	0.562	0.078	0.183
RPL11	0.029	0.237	0.035
KIF1A	0.071	0.163	0.017
RPL7	0.256	0.819	0.129
RPL28	0.328	0.554	0.337
RPSA:SNORA6:SNORA62	0.23	0.904	0.55
STAT1	0.072	0.014	0.119
GNB2L1:SNORD95:SNORD96A	0.025	0.17	0.14
RPLP2:SNORA52	0.072	0.38	0.007
AGRN	0.213	0.756	0.06
APLP2	0.446	0.161	0.009
ATP5A1	0.591	0.241	0.457
PDIA3	0.77	0.003	0.191
GANAB	0.207	0.263	0.027
RPL12:SNORA65	0.252	0.479	0.048
RPL32:SNORA7A	0.061	0.457	0.03
SNORA31:TPT1	0.194	0.879	0.32
TMSB10	0.442	0.137	0.032
RPS12:SNORA33:SNORD100:SNORD101	0.433	0.278	0.026
NCL:SNORA75:SNORD20:SNORD82	0.521	0.004	0.184
SLC25A3:SNORA53	0.262	0.67	0.176
SPTAN1	0.375	0.628	0.044
TFRC	0.195	0.642	0.355
HSP90AB1	0.471	0.005	0.078
TMSB4X:TMSL3	0.097	0.015	0.06
HLA-A	0.35	0.006	0.713
SRRM2	0.045	0.15	0.131
RPS26	0.18	0.616	0.471
THY1	0.013	0.049	0.055
RPL15	0.144	0.719	0.064
RPS10	0.495	0.088	0.037
C1S	0.501	0.871	0.194
MYL6	0.371	0.402	0.302
RPL31	0.037	0.324	0.077
MIR3165:NUMA1	0.228	0.298	0.009
CP	0.736	0.023	0.213
ITGB4	0.104	0.318	0.119
RPL29	0.129	0.705	0.102
TPM4	0.448	0.651	0.381
NAP1L1	0.173	0.936	0.531
EIF4G2:SNORD97	0.272	0.726	0.522
ST14	0.422	0.437	0.058
ATN1	0.097	0.289	0.017
RPS6	0.331	0.728	0.277
HSPD1	0.567	0.016	0.196
H3F3B	0.261	0.71	0.344
RPS21	0.563	0.47	0.045
FTL	0.401	0.151	0.178
P4HB	0.347	0.043	0.033
RPS20:SNORD54	0.412	0.295	0.231
GPI	0.097	0.535	0.011
ATP2A2	0.443	0.094	0.011
APOE	0.807	0.573	0.151
EIF4A1:SNORA48:SNORA67:SNORD10	0.395	0.142	0.037
RPL35	0.829	0.393	0.115
DAG1	0.165	0.852	0.184
INE1:UBA1	0.617	0.256	0.109
RPL7A:SNORD24:SNORD36A:SNORD36B:SNORD36C	0.241	0.922	0.072
PABPC4:SNORA55	0.753	0.185	0.175
KRT18	0.687	0.221	0.315
C12orf35	0.385	0.555	0.103
HNRNPA1:HNRNPA1P10	0.406	0.262	0.142
COL1A2	0.077	0.349	0.214
RPS5	0.118	0.713	0.08
C11orf31:CTNND1:TMX2:TMX2-CTNND1	0.312	0.223	0.239
YWHAB	0.289	0.626	0.364
BST2	0.174	0.124	0.077
LDHA	0.534	0.11	0.042
CTGF	0.126	0.379	0.124
RPS11:SNORD35B	0.23	0.822	0.106
JUP	0.181	0.762	0.276
PFKL	0.713	0.555	0.281
RPS19	0.408	0.348	0.011
IFI27	0.06	0.04	0.235
RPL30:SNORA72	0.847	0.084	0.508
HNRNPU	0.45	0.136	0.466
PODXL	0.09	0.179	0.018
COPA	0.32	0.386	0.074
IFITM1	0.786	0.904	0.214
CHD3:SCARNA21	0.313	0.411	0.05
OAS2	0.828	0.769	0.782
NACA	0.109	0.387	0.042
MTRNR2L8	0.422	0.094	0.188
HSPA5	0.697	0.002	0.147
DYNC1H1	0.42	0.002	0.066
ZFP36L1	0.078	0.414	0.029
RPS8:SNORD38A:SNORD38B:SNORD46:SNORD55	0.274	0.7	0.053
PTGS1	0.341	0.552	0.061
MIR661:PLEC	0.389	0.03	0.154
RPL10A	0.304	0.74	0.157
EIF4B	0.202	0.688	0.091
RPL19	0.193	0.662	0.081
XAF1	0.676	0.432	0.125
FKBP10	0.06	0.195	0.237
TMBIM6	0.568	0.004	0.019
SORL1	0.268	0.877	0.473
RPL22	0.274	0.528	0.318
HSPG2	0.011	0.125	0.181
PTPRF	0.609	0.112	0.098
WFDC2	0.507	0.337	0.03
PCBP2	0.458	0.155	0.004
RPS9	0.14	0.803	0.042
HSPB1	0.162	0.972	0.664
H1F0	0.325	0.418	0.044
IGFBP2	0.855	0.1	0.161
KRT19	0.395	0.383	0.124
TUBA1B	0.346	0.205	0.043
MAT2A	0.25	0.653	0.163
ISG15	0.358	0.303	0.009
TNS1	0.04	0.283	0.174
ACTN1	0.3	0.739	0.103
C1R	0.238	0.547	0.035
CHD4:SCARNA11	0.35	0.141	0.064
EIF4G1:SNORD66	0.364	0.131	0.024
ILF3	0.099	0.434	0.035
ATP1A1	0.198	0.665	0.192
CCND2	0.6	0.731	0.096
GSTP1	0.361	0.276	0.036
PARP14	0.047	0.011	0.094
TLN1	0.284	0.541	0.172
CANX	0.453	0.323	0.233
C18orf32:RPL17:RPL17-C18ORF32:SNORD58A:SNORD58B:SNORD58C:U58	0.304	0.777	0.266
KIAA0754:MACF1	0.228	0.017	0.051
PRKCSH	0.002	0.027	0.052
HDGF	0.452	0.091	0.274
RPL26	0.093	0.669	0.046
PTMS	0.403	0.2	0.015
HUWE1:MIR98:MIRLET7F2	0.273	0.263	0.059
DSP	0.607	0.031	0.151
TUBB	0.438	0.116	0.014
CTSD:DUSP8:FAM99B:KRTAP5-1:KRTAP5-2:KRTAP5-3:KRTAP5-4:LOC402778:MOB2	0.091	0.256	0.023
RPS15A	0.072	0.539	0.311
ELF3	0.259	0.61	0.045
IFIT3	0.186	0.192	0.101
PHLDA1	0.008	0.06	0.088
PRIC285	0.571	0.434	0.102
NCAPD2:SCARNA10	0.102	0.344	0.21
UBA52	0.054	0.363	0.08
RPL35A	0.264	0.762	0.297
HNRNPA2B1	0.641	0.074	0.374
HYOU1	0.361	0.643	0.068
INTS3	0.172	0.38	0.01
MUC1	0.77	0.07	0.288
CNOT1:SNORA46:SNORA50	0.471	0.129	0.076
FKBP4	0.457	0.551	0.077
CD47	0.687	0.056	0.387
PRRC2C	0.377	0.125	0.159
FLNB	0.049	0.382	0.18
LAMB2	0.002	0.029	0.627
NPM1	0.33	0.459	0.201
EEF1D	0.812	0.224	0.264
RPL5:SNORA66:SNORD21	0.124	0.763	0.379
MAP4	0.24	0.705	0.34
GCN1L1	0.325	0.388	0.088
ZNF664	0.324	0.501	0.107
CFL1	0.419	0.057	0.02
EIF4A2:MIR1248:SNORA4:SNORA63:SNORA81:SNORD2	0.372	0.339	0.275
RAN	0.447	0.075	0.065
CD9	0.331	0.457	0.061
NME1:NME1-NME2:NME2	0.763	0.124	0.446
WNK1	0.224	0.43	0.038
CAPN2	0.705	0.536	0.083
RRBP1	0.295	0.466	0.054
MLEC	0.133	0.661	0.215
TNFAIP2	0.792	0.452	0.076
RPS13	0.154	0.598	0.482
SLC38A1	0.316	0.63	0.185
SEPT2	0.44	0.086	0.326
ASRGL1	0.87	0.348	0.075
SPARC	0.302	0.556	0.028
RPL36	0.004	0.048	0.014
SDC4	0.075	0.388	0.094
ATP2B4:SNORA77	0.197	0.364	0.174
COL4A2	0.377	0.725	0.016
RPL21:RPL21P28:SNORA27:SNORD102	0.198	0.865	0.142
GAS5:SNORD44:SNORD47:SNORD74:SNORD75:SNORD76:SNORD77:SNORD78:SNORD79:SNORD80:SNORD81	0.51	0.742	0.133
HLA-E	0.411	0.017	0.464
POLR2A	0.075	0.312	0.053
NCOR2	0.02	0.112	0.03
NR4A1	0.078	0.153	0.415
LAMC1	0.406	0.313	0.02
TMED2	0.387	0.289	0.274
LARP1	0.313	0.091	0.029
SET	0.53	0.032	0.324
ADAM15	0.224	0.757	0.101
SPOCK2	0.93	0.762	0.143
ANXA2	0.248	0.527	0.042
RPN1	0.451	0.128	0.082
SNRNP200	0.226	0.582	0.037
ITGB1	0.403	0.203	0.056
ACTN4	0.533	0.17	0.048
KIAA1522	0.143	0.494	0.014
HNRNPA3	0.519	0.029	0.107
FASN	0.553	0.231	0.067
AP2M1	0.376	0.216	0.072
SCNN1A	0.336	0.6	0.212
PPIB	0.442	0.133	0.104
NDUFS2	0.241	0.744	0.125
FN1	0.46	0.536	0.153
ARF1:MIR3620	0.42	0.053	0.15
SON	0.22	0.677	0.026
ISYNA1	0.063	0.331	0.061
RPL14	0.21	0.511	0.007
RPS16	0.835	0.433	0.166
RPS4X	0.129	0.556	0.39
IQGAP1	0.666	0.097	0.196
RPL18	0.085	0.546	0.058
AARS	0.516	0.12	0.021
CDH1	0.665	0.174	0.096
F11R	0.442	0.097	0.073
YBX1	0.352	0.007	0.172
PLXNB2	0.325	0.594	0.296
CGN	0.093	0.181	0.055
FLJ23867:QSOX1	0.337	0.401	0.127
THBS1	0.294	0.766	0.22
NOTCH3	0.052	0.086	0.043
CTSB	0.401	0.312	0.003
RHOA	0.455	0.092	0.192
CLDN3	0.156	0.54	0.012
ARF3	0.604	0.018	0.085
HNRNPC	0.413	0.098	0.113
TPM3	0.607	0.207	0.256
ProSAPiP1	0.354	0.818	0.012
PGAM1	0.149	0.631	0.297
FBXO21	0.474	0.105	0.03
SF3B1	0.353	0.352	0.086
NCRNA00188:SNORD49A:SNORD49B:SNORD65	0.541	0.585	0.461
EIF1	0.262	0.375	0.011
H3F3A:LOC440926	0.428	0.116	0.163
PEA15	0.294	0.547	0.056
EIF3A:SNORA19	0.72	0.051	0.21
SERF2	0.461	0.054	0.052
RPS15	0.044	0.353	0.125
OAS1	0.817	0.746	0.197
RPS23	0.082	0.485	0.036
DIAPH1	0.52	0.399	0.06
SERPINH1	0.142	0.419	0.114
ICAM1	0.213	0.451	0.374
RPL24	0.201	0.913	0.2
ACADVL	0.073	0.574	0.33
MIF	0.49	0.673	0.189
YWHAZ	0.724	0.002	0.459
CTDSP2:MIR26A2	0.19	0.299	0.04
JUN	0.204	0.652	0.078
H19:MIR675	0.899	0.914	0.209
TRIM28	0.298	0.337	0.034
WDR6	0.029	0.15	0.04
RPS27A	0.647	0.212	0.126
CS	0.232	0.525	0.08
TGOLN2	0.158	0.524	0.096
EIF5A	0.141	0.035	0.05
CPXM1	0.088	0.411	0.312
IFIT1	0.159	0.099	0.5
GNB1	0.177	0.539	0.078
PEBP1	0.355	0.227	0.1
UBR4	0.076	0.419	0.048
CLSTN1	0.012	0.091	0.103
TMEM66	0.058	0.297	0.032
C7orf54:MIR593:SND1	0.192	0.587	0.186
INPPL1	0.373	0.219	0.102
RPL23:SNORA21	0.133	0.762	0.492
SEC61A1	0.349	0.073	0.038
SEPT9	0.093	0.409	0.2
RPL39:SNORA69	0.736	0.098	0.255
AHCY	0.227	0.754	0.116
LAPTM4A	0.128	0.4	0.092
KIAA0100	0.347	0.166	0.036
MSLN	0.121	0.256	0.255
DDIT4	0.4	0.527	0.019
MLF2	0.299	0.275	0.045
SHMT2	0.383	0.661	0.163
PHB2:SCARNA12	0.24	0.725	0.17
DDX17	0.734	0.015	0.328
UBAP2L	0.229	0.418	0.046
ESR1	0.634	0.182	0.276
CBS	0.891	0.342	0.275
RPS28	0.128	0.302	0.308
PFKP	0.679	0.077	0.004
HNRNPUL2	0.449	0.056	0.052
DHCR24	0.653	0.154	0.044
DMBT1	0.502	0.532	0.009
ILF2	0.393	0.065	0.103
TAGLN2	0.416	0.166	0.021
CAPRIN1	0.358	0.179	0.095
MKI67	0.387	0.354	0.028
NDUFS5	0.254	0.076	0.088
CD81	0.271	0.547	0.097
OS9	0.193	0.46	0.06
MYOF	0.705	0.191	0.149
PFN1	0.468	0.029	0.056
HMGA1	0.472	0.043	0.007
CTTN	0.365	0.143	0.095
DCAF8	0.405	0.144	0.217
VCP	0.667	0.119	0.24
PARP9	0.227	0.043	0.025
JUNB	0.038	0.166	0.095
LAPTM4B	0.783	0.004	0.19
DDX5	0.66	0.128	0.249
APOA1	0.855	0.662	0.074
CCND1	0.066	0.115	0.094
SHISA5	0.145	0.359	0.042
HSPA9:SNORD63	0.394	0.117	0.058
NUCKS1	0.464	0.204	0.579
PARP1	0.398	0.185	0.045
RAB5B	0.218	0.559	0.03
SMARCA4	0.021	0.317	0.174
RPN2	0.334	0.326	0.009
YAP1	0.11	0.104	0.025
EEF1B2:SNORA41:SNORD51	0.478	0.122	0.113
VCL	0.484	0.25	0.064
GNAI2	0.427	0.255	0.12
PLXNB1	0.506	0.257	0.147
C14orf4	0.035	0.27	0.019
KRT7	0.263	0.917	0.012
CIZ1	0.089	0.387	0.091
FOLR1	0.098	0.338	0.519
PGK1	0.717	0.008	0.14
STAT6	0.252	0.551	0.049
EPRS	0.5	0.138	0.21
EIF4H:MIR590	0.311	0.576	0.64
DTX3L	0.337	0.044	0.047
RPS29	0.483	0.34	0.049
FUS	0.314	0.256	0.118
IRAK1	0.424	0.117	0.033
ADAMTS1	0.525	0.81	0.019
EIF2S3	0.587	0.122	0.227
REC8	0.256	0.835	0.255
CALD1	0.229	0.688	0.376
SCARA3	0.16	0.801	0.313
TMEM123	0.225	0.627	0.117
STAT2	0.515	0.023	0.03
WARS	0.119	0.02	0.024
PPL	0.024	0.116	0.059
SIPA1L1	0.401	0.578	0.029
RPL23AP32:SPTBN1	0.028	0.171	0.039
FAM38A	0.203	0.689	0.121
LSR	0.085	0.462	0.045
DNMT1	0.118	0.639	0.107
KPNB1	0.504	0.028	0.194
ARPC1B	0.376	0.143	0.052
SLC44A2	0.274	0.789	0.052
KTN1	0.449	0.164	0.635
TMED10	0.441	0.026	0.021
NCKAP1	0.425	0.161	0.217
LOC647979	0.513	0.037	0.058
CCT3	0.383	0.168	0.137
LMNA	0.157	0.499	0.004
CLDN4	0.111	0.486	0.022
PRKDC	0.333	0.456	0.114
TNS3	0.011	0.09	0.092
MARS	0.345	0.472	0.279
BAZ2A	0.164	0.377	0.029
CA9	0.295	0.688	0.209
IRF2BP2	0.103	0.217	0.088
ANAPC5	0.171	0.576	0.078
HNRNPK:MIR7-1	0.473	0.009	0.318
EHF	0.798	0.384	0.024
PDIA4	0.466	0.012	0.013
RERE	0.109	0.565	0.403
STARD7	0.492	0.025	0.007
DDX54	0.184	0.627	0.097
ASS1	0.017	0.002	0.108
TKT	0.538	0.476	0.188
SMARCC2	0.151	0.34	0.098
CD151	0.032	0.4	0.158
IMPDH2	0.01	0.146	0.396
SELENBP1	0.215	0.652	0.143
COX6A1	0.175	0.612	0.048
PXN	0.136	0.57	0.126
TMTC1	0.463	0.891	0.2
SNX22	0.395	0.24	0.414
PRDX6	0.714	0.007	0.091
ZFP36L2	0.026	0.241	0.195
PCBP1	0.338	0.274	0.014
SLC38A2	0.686	0.121	0.309
ANXA11	0.29	0.738	0.382
LTBP3	0.182	0.659	0.025
ARAP1	0.335	0.428	0.189
SPINT2	0.724	0.202	0.268
LRP1:MIR1228	0.024	0.061	0.243
TXNIP	0.239	0.586	0.059
DDB1	0.401	0.049	0.066
GAS6	0.155	0.365	0.199
RPL34	0.161	0.752	0.041
GLUL	0.266	0.448	0.159
SF3B2	0.372	0.141	0.097
PSME1	0.15	0.027	0.1
ZMIZ2	0.136	0.557	0.074
LARS	0.136	0.534	0.053
MCL1	0.407	0.428	0.19
RNF10	0.417	0.344	0.045
SH3PXD2A	0.074	0.592	0.389
CCDC6	0.5	0.033	0.199
HNRNPH1	0.343	0.347	0.182
WWC1	0.26	0.529	0.124
EGR1	0.239	0.344	0.043
BCL9L	0.098	0.563	0.16
PARP10	0.29	0.077	0.26
SERPING1	0.432	0.386	0.035
CNBP	0.455	0.215	0.359
CALM1	0.481	0.233	0.285
TRAP1	0.119	0.509	0.256
PABPC1L	0.048	0.173	0.043
GRB2	0.269	0.489	0.025
UQCRC1	0.25	0.422	0.1
MYH14	0.317	0.704	0.046
RPL27	0.084	0.636	0.302
MDK	0.61	0.452	0.193
PPP1CC	0.271	0.742	0.668
CD63	0.57	0.106	0.135
MDH2	0.366	0.13	0.083
PML	0.443	0.128	0.129
COL4A1	0.447	0.526	0.157
MYL9	0.456	0.652	0.189
LLGL2	0.198	0.869	0.501
STK38L	0.405	0.892	0.503
TJP1	0.224	0.528	0.049
PKD1P1	0.011	0.051	0.29
ATF3	0.195	0.397	0.067
COPG	0.391	0.021	0.022
FOXM1	0.125	0.505	0.015
GOLGA3	0.245	0.3	0.042
PLOD1	0.004	0.089	0.075
COX4I1	0.278	0.394	0.027
CSDE1	0.155	0.83	0.348
FAU	0.232	0.417	0.056
KLF6	0.511	0.439	0.127
NDUFV1	0.295	0.417	0.429
TNIP1	0.091	0.486	0.021
XRCC5	0.545	0.012	0.248
HMGN2	0.499	0.084	0.043
KDM3A	0.142	0.581	0.417
TM7SF3	0.623	0.713	0.019
ANKHD1:ANKHD1-EIF4EBP3:EIF4EBP3	0.102	0.652	0.08
ATP5H	0.366	0.193	0.043
UBE2L6	0.236	0.043	0.201
TNKS1BP1	0.101	0.638	0.086
PTGES3	0.53	0.019	0.077
C1orf43	0.387	0.26	0.013
CAP1	0.532	0.017	0.037
PRRC2A:SNORA38	0.474	0.23	0.159
ARCN1	0.263	0.548	0.062
OGDH	0.046	0.254	0.081
PRPF8	0.364	0.326	0.11
TAPBP	0.44	0.006	0.03
GGA3	0.223	0.62	0.126
ABLIM1	0.154	0.732	0.541
MLL2	0.429	0.289	0.063
ACTR2	0.596	0.002	0.301
GLTSCR2:SNORD23	0.039	0.241	0.066
MUC16	0.072	0.21	0.793
CDC37:MIR1181	0.004	0.364	0.108
CKAP5:SNORD67	0.329	0.321	0.082
USP5	0.139	0.639	0.322
SQSTM1	0.19	0.683	0.095
OBSCN	0.002	0.025	0.298
PVRL2	0.277	0.845	0.39
RPL36A	0.203	0.736	0.035
SPATS2L	0.18	0.409	0.023
PRRC2B:SNORD62A:SNORD62B	0.266	0.557	0.066
M6PR	0.221	0.444	0.118
AKT1	0.482	0.084	0.056
ZMYND8	0.197	0.758	0.306
PTPRS	0.029	0.241	0.108
KDM5A	0.145	0.638	0.186
PKP4	0.264	0.396	0.062
SUPT16H	0.514	0.42	0.193
CTNNB1	0.344	0.543	0.02
KIAA1217:MIR603:PRINS	0.057	0.119	0.054
BCAT1:DAD1P1	0.533	0.6	0.03
GPX1	0.12	0.766	0.112
EMP2	0.07	0.338	0.132
PABPN1	0.279	0.267	0.192
ARHGEF12	0.219	0.907	0.292
LRRTM1	0.173	0.478	0.209
PPFIBP1	0.297	0.61	0.053
NUP210	0.359	0.399	0.006
KDM2A	0.431	0.005	0.047
SMG5	0.219	0.409	0.058
PDCD4	0.341	0.309	0.109
NPR1	0.783	0.969	0.219
BAZ1B	0.282	0.485	0.252
CCT7	0.241	0.722	0.32
SUMO2	0.33	0.053	0.055
EPHX1	0.201	0.93	0.37
TAP1	0.005	0.002	0.072
ADCY8*	0.236	0.28	0.289
ERP29	0.348	0.198	0.014
RCN1	0.635	0.118	0.272
AHSA1	0.365	0.374	0.165
BSG	0.092	0.449	0.526
HNRNPF	0.365	0.018	0.027
TPD52L2	0.416	0.263	0.136
FOSB	0.172	0.22	0.074
TUFM	0.312	0.411	0.154
CCDC80	0.087	0.237	0.338
GDI2	0.425	0.032	0.036
GUK1	0.228	0.513	0.083
PLTP	0.248	0.85	0.072
ESYT1	0.245	0.469	0.035
WBP11	0.173	0.348	0.006
SRPR	0.445	0.372	0.309
YWHAE	0.468	0.006	0.084
SNORA14B:TOMM20	0.435	0.262	0.521
UQCRC2	0.348	0.196	0.295
MAVS	0.432	0.061	0.04
ANKRD11	0.074	0.366	0.069
LOC440839:PAX8	0.368	0.536	0.112
STIP1	0.411	0.114	0.077
CRIP1	0.785	0.395	0.333
TIMP2	0.006	0.066	0.048
TUBB2C	0.273	0.619	0.026
ZNFX1	0.234	0.004	0.109
ANKRD13A	0.033	0.123	0.07
XPO1	0.713	0.013	0.403
HN1	0.401	0.629	0.073
NEO1	0.62	0.147	0.068
PNN	0.495	0.062	0.107
IPO7:SNORA23	0.278	0.63	0.36
RPS7	0.113	0.537	0.073
MX2	0.787	0.585	0.057
CPNE1:RBM12	0.117	0.557	0.01
CREBBP	0.107	0.42	0.183
AKIRIN1	0.476	0.353	0.49
PHGDH	0.199	0.695	0.109
RNF103:RNF103-VPS24:VPS24	0.447	0.053	0.225
IMMT	0.258	0.484	0.035
MIR3647:SF3B3:SNORD111:SNORD111B	0.43	0.114	0.068
ZMIZ1	0.341	0.582	0.059
CCT5	0.516	0.033	0.104
SDHA	0.643	0.056	0.161
CAND1	0.433	0.795	0.274
NDST1	0.05	0.38	0.295
SNORA30:SRCAP	0.109	0.518	0.266
PRDX5	0.094	0.638	0.336
EPCAM:MIR559	0.771	0.03	0.145
RPL38	0.561	0.656	0.304
HMGB1	0.537	0.007	0.031
ALDH1L2	0.219	0.957	0.097
FMOD	0.001	0.001	0.055
WDR45L	0.469	0.094	0.099
PSMD2	0.442	0.061	0.039
GAB2	0.617	0.123	0.036
SEC24C	0.279	0.287	0.129
RFX5	0.392	0.224	0.052
BTG2	0.066	0.364	0.015
PPP2R1A	0.244	0.41	0.041
THBS3	0.015	0.027	0.079
POLD2	0.091	0.669	0.523
TMEM120B	0.002	0.019	0.291
EP400:SNORA49	0.65	0.626	0.476
SF1	0.278	0.173	0.036
DDOST	0.051	0.298	0.028
PHLDB1	0.018	0.113	0.099
ERBB3	0.624	0.227	0.352
TSPAN3	0.451	0.036	0.026
EPS8L2	0.059	0.316	0.555
ACIN1	0.29	0.396	0.14
CAPN1	0.364	0.158	0.109
AKAP12	0.262	0.455	0.217
NFKBIA	0.245	0.775	0.009
