symbol	transPos	exonNumber	chrm	genomePos	SOC-2745-226696	SOC-2774-227362	SOC-5936-294158	SOC-6075-291944	SOC-6752-315581	SOC-7165-343100	SOC-7637-361542	SOC-7777-371281	SOC-8272-401299	SOC-11199-480891	SOC-849-206653	SOC-1255-501160	SOC-2427-221981	SOC-2674-224814	SOC-2742-225553	SOC-4808-260525	SOC-5439-266610	SOC-5606-277617	SOC-5653-277626	SOC-5691-278006
ACTB	31	1	chr7	5570202	509	2988	591	2631	262	1507	316	574	294	234	278	557	63	314	459	53	399	265	404	265
ACTB	30	1	chr7	5570203	500	2770	575	2432	249	1477	297	558	285	224	272	547	60	300	443	52	383	258	381	256
ACTB	29	1	chr7	5570204	498	2759	575	2421	248	1472	295	557	283	221	270	543	59	299	438	52	380	256	378	255
ACTB	28	1	chr7	5570205	491	2686	568	2316	237	1462	290	550	280	216	267	534	57	291	429	52	374	253	369	253
ACTB	27	1	chr7	5570206	485	2671	562	2305	234	1436	283	546	276	212	265	528	57	287	425	51	367	252	363	244
ACTB	26	1	chr7	5570207	480	2664	556	2301	233	1351	281	540	275	211	265	526	57	285	424	51	368	252	360	241
ACTB	25	1	chr7	5570208	434	2641	511	2289	225	1161	277	494	264	202	245	475	52	278	413	50	340	245	344	220
ACTB	24	1	chr7	5570209	392	2374	460	2079	213	959	264	440	249	191	223	441	46	250	385	47	313	229	318	199
ACTB	23	1	chr7	5570210	336	2295	391	2044	199	834	246	343	225	168	196	380	41	223	356	41	270	203	287	180
ACTB	22	1	chr7	5570211	278	2170	283	1911	157	623	210	262	180	118	141	321	31	163	276	34	192	153	229	130
ACTB	21	1	chr7	5570212	263	2011	257	1766	147	589	203	230	166	98	124	297	28	145	255	25	161	143	212	112
ACTB	20	1	chr7	5570213	250	1956	238	1701	137	559	193	220	151	91	115	279	26	137	241	24	148	138	202	108
ACTB	19	1	chr7	5570214	249	1943	237	1684	137	555	192	216	151	90	115	279	25	137	241	24	148	138	201	107
ACTB	18	1	chr7	5570215	244	1920	229	1672	132	531	190	211	147	87	109	269	23	132	235	22	137	136	188	101
ACTB	17	1	chr7	5570216	229	1726	209	1489	117	494	172	198	133	79	105	256	19	122	216	18	120	124	168	93
ACTB	16	1	chr7	5570217	225	1666	201	1444	117	483	170	192	132	78	102	252	18	119	212	17	117	122	166	89
ACTB	15	1	chr7	5570218	225	1647	198	1438	115	478	170	192	132	78	102	251	17	118	210	17	117	119	166	89
ACTB	14	1	chr7	5570219	195	1287	179	1106	93	395	124	160	119	69	85	224	16	97	167	15	99	101	133	81
ACTB	13	1	chr7	5570220	190	1222	172	1046	89	366	119	153	116	69	82	215	16	95	162	15	98	94	126	79
ACTB	12	1	chr7	5570221	171	1100	154	999	79	305	105	115	103	58	62	198	15	85	138	14	93	78	112	75
ACTB	11	1	chr7	5570222	72	572	81	488	33	165	72	66	50	31	27	77	11	36	55	9	44	34	62	45
ACTB	10	1	chr7	5570223	37	229	54	179	22	101	45	37	30	18	18	40	11	18	39	9	30	19	28	30
ACTB	9	1	chr7	5570224	19	125	29	95	8	71	26	21	16	4	10	24	10	7	17	6	10	4	19	15
ACTB	8	1	chr7	5570225	5	83	16	64	5	26	12	7	6	1	4	9	10	4	4	6	4	3	10	8
ACTB	7	1	chr7	5570226	3	59	8	38	2	6	4	2	3	0	2	5	10	1	2	6	4	3	3	3
ACTB	6	1	chr7	5570227	3	56	7	36	2	6	4	1	3	0	1	5	10	1	1	6	4	2	2	3
ACTB	5	1	chr7	5570228	2	49	7	31	2	5	4	1	3	0	1	5	10	1	1	5	3	2	2	3
ACTB	4	1	chr7	5570229	2	34	7	17	1	4	4	1	3	0	1	4	10	1	1	4	2	2	2	3
ACTB	3	1	chr7	5570230	2	23	7	7	1	4	2	1	3	0	1	2	6	1	1	2	2	1	1	2
ACTB	2	1	chr7	5570231	2	11	5	4	1	4	2	1	3	0	1	2	2	1	1	1	2	1	1	1
ACTB	1	1	chr7	5570232	2	7	5	2	1	4	2	1	3	0	1	2	1	1	1	1	2	1	0	1
ACTB	207	2	chr7	5569166	473	3303	697	2850	440	723	753	614	481	505	294	470	383	591	668	514	552	381	845	390
ACTB	206	2	chr7	5569167	476	3279	684	2818	441	714	742	617	485	514	296	470	376	590	658	515	552	384	845	381
ACTB	205	2	chr7	5569168	473	3281	680	2825	439	701	731	615	484	510	295	470	368	589	660	511	542	380	837	374
ACTB	204	2	chr7	5569169	479	3278	667	2831	438	672	716	601	481	501	291	467	361	578	657	499	531	377	809	362
ACTB	203	2	chr7	5569170	476	3242	655	2801	432	650	706	596	474	502	287	462	355	573	645	483	524	371	796	355
ACTB	202	2	chr7	5569171	478	3281	642	2827	438	642	691	598	475	503	285	467	348	571	640	479	516	371	794	346
ACTB	201	2	chr7	5569172	466	3304	629	2849	428	623	675	580	463	490	275	464	328	555	626	463	492	366	777	338
ACTB	200	2	chr7	5569173	470	3417	629	2932	428	621	684	586	467	491	270	468	324	556	642	465	493	370	777	341
ACTB	199	2	chr7	5569174	472	3444	629	2940	427	621	679	578	467	486	270	473	323	546	645	460	493	368	774	341
ACTB	198	2	chr7	5569175	471	3405	626	2898	426	620	680	578	466	484	271	473	320	539	640	459	494	368	772	342
ACTB	197	2	chr7	5569176	463	3389	593	2836	411	599	650	560	457	481	261	478	307	512	623	433	459	356	751	325
ACTB	196	2	chr7	5569177	457	3326	575	2785	406	576	640	557	446	477	255	479	293	500	601	418	446	352	735	318
ACTB	195	2	chr7	5569178	450	3298	548	2757	397	533	628	546	444	474	251	468	287	493	587	410	429	349	706	313
ACTB	194	2	chr7	5569179	447	3305	536	2756	387	513	623	534	436	468	243	457	278	488	581	401	429	346	698	305
ACTB	193	2	chr7	5569180	441	3248	516	2729	375	500	600	523	431	463	238	457	262	475	563	381	414	340	683	299
ACTB	192	2	chr7	5569181	441	3248	514	2725	372	482	596	522	427	463	237	455	261	473	561	379	415	340	679	294
ACTB	191	2	chr7	5569182	443	3240	499	2738	364	472	600	513	430	457	235	448	249	463	547	368	401	337	671	282
ACTB	190	2	chr7	5569183	445	3300	499	2789	362	467	592	500	433	462	232	453	244	473	556	363	412	336	683	290
ACTB	189	2	chr7	5569184	420	3162	457	2700	336	426	559	476	406	432	220	428	225	451	509	318	384	317	619	265
ACTB	188	2	chr7	5569185	430	3189	442	2737	348	422	557	477	410	435	221	443	217	446	516	309	379	321	627	266
ACTB	187	2	chr7	5569186	430	3278	436	2807	345	414	551	472	406	429	218	444	213	441	509	309	378	320	618	263
ACTB	186	2	chr7	5569187	426	3265	416	2802	336	409	529	467	396	419	219	439	208	425	503	287	371	311	604	252
ACTB	185	2	chr7	5569188	424	3207	414	2736	337	406	516	467	392	414	219	441	203	423	500	279	370	308	598	250
ACTB	184	2	chr7	5569189	426	3145	415	2695	337	411	518	469	391	415	218	443	200	419	501	279	369	308	599	251
ACTB	183	2	chr7	5569190	423	3131	408	2691	332	413	517	467	390	408	216	443	194	412	494	270	360	305	587	245
ACTB	182	2	chr7	5569191	423	3145	410	2698	333	416	522	468	391	408	216	443	192	413	498	269	364	308	583	245
ACTB	181	2	chr7	5569192	426	3166	406	2704	334	421	511	467	395	407	217	447	192	411	498	263	362	314	583	244
ACTB	180	2	chr7	5569193	431	3228	417	2770	338	436	534	470	410	418	223	458	194	417	511	268	373	324	601	257
ACTB	179	2	chr7	5569194	438	3218	413	2757	344	441	549	478	418	425	229	466	183	427	518	269	383	328	599	264
ACTB	178	2	chr7	5569195	451	3087	442	2651	363	445	558	496	424	444	243	492	180	440	534	264	390	359	612	275
ACTB	177	2	chr7	5569196	452	3109	447	2679	369	445	556	497	428	442	243	498	177	439	539	258	396	361	618	271
ACTB	176	2	chr7	5569197	457	3123	448	2669	371	440	552	506	423	441	248	508	172	441	537	248	397	362	623	269
ACTB	175	2	chr7	5569198	458	3168	445	2694	370	443	548	502	419	439	247	510	167	441	532	245	394	362	618	267
ACTB	174	2	chr7	5569199	457	3088	440	2655	370	446	549	502	416	438	246	510	168	443	529	242	393	359	614	265
ACTB	173	2	chr7	5569200	449	3047	429	2602	355	439	543	493	414	427	247	510	166	435	522	243	374	349	605	257
ACTB	172	2	chr7	5569201	455	2954	442	2522	354	450	546	498	421	428	250	512	166	434	525	240	380	351	605	256
ACTB	171	2	chr7	5569202	461	2812	458	2384	359	472	551	508	439	433	253	525	164	434	533	235	400	359	615	252
ACTB	170	2	chr7	5569203	468	2747	463	2290	370	509	565	519	440	434	261	528	162	442	541	228	398	363	596	251
ACTB	169	2	chr7	5569204	492	2771	476	2310	383	540	577	540	447	438	267	549	162	446	552	228	406	374	598	264
ACTB	168	2	chr7	5569205	546	2929	535	2434	424	629	594	598	465	453	272	585	165	473	610	242	426	391	637	280
ACTB	167	2	chr7	5569206	569	3023	559	2510	446	679	609	630	481	460	279	602	169	491	636	240	451	400	663	295
ACTB	166	2	chr7	5569207	576	3041	570	2506	448	704	627	641	485	466	288	613	172	489	642	239	452	402	672	304
ACTB	165	2	chr7	5569208	574	3034	576	2501	445	719	635	646	483	467	290	621	172	488	641	237	451	402	671	306
ACTB	164	2	chr7	5569209	589	3047	612	2490	456	786	662	677	500	476	307	636	168	512	664	238	481	408	685	334
ACTB	163	2	chr7	5569210	595	3008	626	2478	455	805	672	682	505	478	317	641	172	514	674	237	490	410	685	337
ACTB	162	2	chr7	5569211	599	3033	641	2499	455	815	681	688	504	481	320	641	174	520	684	236	502	414	688	340
ACTB	161	2	chr7	5569212	599	3045	642	2493	456	815	681	689	505	478	321	642	174	523	684	236	504	416	694	341
ACTB	160	2	chr7	5569213	598	3100	644	2533	457	812	681	691	505	480	321	640	173	524	679	235	504	418	691	341
ACTB	159	2	chr7	5569214	602	3107	645	2580	460	817	678	694	503	478	319	640	171	521	675	231	502	409	690	341
ACTB	158	2	chr7	5569215	608	3042	656	2488	464	823	675	703	507	484	323	641	173	528	685	232	516	423	701	356
ACTB	157	2	chr7	5569216	622	3100	692	2546	474	863	687	714	516	491	322	647	179	542	702	233	544	434	719	362
ACTB	156	2	chr7	5569217	623	3101	699	2546	478	873	687	719	516	493	323	642	176	546	702	226	552	436	715	363
ACTB	155	2	chr7	5569218	613	3059	700	2501	476	856	659	704	506	491	317	631	171	537	692	222	556	432	697	367
ACTB	154	2	chr7	5569219	614	3085	714	2527	482	864	659	697	503	497	319	634	171	549	704	219	577	437	706	376
ACTB	153	2	chr7	5569220	608	3038	725	2494	492	869	666	699	509	502	321	636	176	557	711	219	591	445	715	388
ACTB	152	2	chr7	5569221	612	2959	733	2428	494	869	672	706	517	506	325	641	180	565	713	217	599	451	719	397
ACTB	151	2	chr7	5569222	626	2897	753	2379	498	877	677	713	527	509	328	654	182	576	729	218	613	453	735	403
ACTB	150	2	chr7	5569223	640	2920	775	2441	513	884	685	725	541	516	334	677	183	593	756	221	643	474	757	410
ACTB	149	2	chr7	5569224	659	3020	793	2517	524	902	692	737	551	527	340	693	183	602	781	223	667	488	765	418
ACTB	148	2	chr7	5569225	661	2938	805	2450	534	912	689	739	564	533	341	698	187	604	796	226	677	505	767	423
ACTB	147	2	chr7	5569226	657	3031	815	2559	542	946	679	743	559	529	339	692	182	609	799	227	680	511	777	433
ACTB	146	2	chr7	5569227	644	3009	798	2555	533	941	670	731	547	525	330	675	177	600	784	215	672	504	760	428
ACTB	145	2	chr7	5569228	641	2986	805	2561	535	953	663	731	547	530	329	676	174	600	783	213	673	507	765	427
ACTB	144	2	chr7	5569229	640	3013	813	2581	535	968	660	738	546	528	330	682	174	602	792	213	684	510	769	426
ACTB	143	2	chr7	5569230	641	3027	820	2596	536	979	664	743	547	533	329	684	173	601	798	213	693	513	780	432
ACTB	142	2	chr7	5569231	631	3028	821	2596	532	974	657	739	540	523	322	681	174	601	798	210	694	510	780	434
ACTB	141	2	chr7	5569232	623	2903	819	2497	533	974	649	737	540	516	322	677	168	603	801	208	690	511	776	434
ACTB	140	2	chr7	5569233	628	2903	836	2493	546	991	657	739	551	518	333	685	168	611	828	204	697	529	796	446
ACTB	139	2	chr7	5569234	633	2854	842	2438	551	1019	657	740	556	519	333	692	169	618	830	203	694	530	799	450
ACTB	138	2	chr7	5569235	630	2820	854	2437	554	1022	660	734	557	522	334	689	170	627	832	205	705	529	805	457
ACTB	137	2	chr7	5569236	630	2803	864	2419	562	1035	659	735	558	523	333	691	170	627	840	208	701	527	808	461
ACTB	136	2	chr7	5569237	632	2794	867	2419	563	1037	660	735	557	526	335	692	171	630	845	208	703	530	812	461
ACTB	135	2	chr7	5569238	641	2812	878	2424	571	1062	666	734	559	532	336	701	175	635	858	212	705	538	820	463
ACTB	134	2	chr7	5569239	643	2806	879	2399	571	1066	666	734	559	526	338	699	175	636	860	212	702	537	821	462
ACTB	133	2	chr7	5569240	639	2722	874	2324	566	1073	651	727	551	517	337	696	169	622	856	204	695	529	798	461
ACTB	132	2	chr7	5569241	638	2718	876	2319	565	1078	649	726	556	513	338	700	172	624	862	201	696	529	800	461
ACTB	131	2	chr7	5569242	628	2652	873	2255	567	1074	640	711	549	500	327	698	169	624	859	189	695	525	784	457
ACTB	130	2	chr7	5569243	631	2623	875	2233	570	1079	632	711	552	499	328	702	169	627	860	189	691	525	783	458
ACTB	129	2	chr7	5569244	644	2577	909	2179	588	1104	636	727	569	518	335	735	173	645	886	194	710	542	800	469
ACTB	128	2	chr7	5569245	639	2557	907	2161	589	1111	639	722	574	515	338	736	173	649	890	193	715	539	800	471
ACTB	127	2	chr7	5569246	645	2578	922	2202	596	1122	638	721	574	514	337	747	175	651	903	195	717	536	818	479
ACTB	126	2	chr7	5569247	642	2560	921	2189	595	1121	627	713	573	506	336	741	174	643	903	190	715	535	816	480
ACTB	125	2	chr7	5569248	647	2529	930	2161	601	1129	627	718	573	512	339	754	179	649	908	193	721	542	822	486
ACTB	124	2	chr7	5569249	646	2473	940	2133	599	1145	618	717	575	513	341	758	174	656	913	191	722	541	825	492
ACTB	123	2	chr7	5569250	656	2481	963	2127	615	1160	622	725	581	519	350	777	177	667	929	191	736	550	834	506
ACTB	122	2	chr7	5569251	657	2470	968	2141	617	1154	619	730	579	520	348	797	179	672	940	194	750	551	834	510
ACTB	121	2	chr7	5569252	659	2469	968	2163	620	1152	618	733	578	518	347	796	182	671	947	193	750	553	832	510
ACTB	120	2	chr7	5569253	663	2462	958	2163	619	1150	610	724	571	513	348	796	183	670	929	190	752	546	830	508
ACTB	119	2	chr7	5569254	654	2265	951	2000	618	1142	604	719	569	513	344	787	183	667	919	191	747	545	826	505
ACTB	118	2	chr7	5569255	663	2199	957	1938	624	1153	608	724	572	519	346	796	189	671	926	189	753	550	839	511
ACTB	117	2	chr7	5569256	656	2242	950	1973	613	1144	603	715	583	517	347	794	190	670	929	190	772	558	845	516
ACTB	116	2	chr7	5569257	658	2350	952	2067	618	1149	605	709	587	520	351	805	192	678	940	191	781	566	859	513
ACTB	115	2	chr7	5569258	679	2250	964	2004	622	1151	604	715	593	534	351	819	193	696	951	191	806	580	873	520
ACTB	114	2	chr7	5569259	677	2220	965	1974	623	1152	606	717	596	537	354	821	196	699	955	192	804	580	876	520
ACTB	113	2	chr7	5569260	674	2118	962	1886	622	1145	599	709	590	533	351	817	195	700	954	191	804	575	868	521
ACTB	112	2	chr7	5569261	674	2119	968	1900	626	1147	601	711	594	535	351	821	195	708	957	190	810	581	875	520
ACTB	111	2	chr7	5569262	666	2092	972	1880	623	1145	598	704	590	534	349	817	197	708	957	186	809	580	869	524
ACTB	110	2	chr7	5569263	661	2103	972	1853	631	1154	609	705	585	528	348	815	200	700	955	184	802	578	873	517
ACTB	109	2	chr7	5569264	661	2163	970	1910	629	1164	609	706	586	530	349	817	201	697	958	184	798	576	873	518
ACTB	108	2	chr7	5569265	653	2081	977	1860	625	1159	604	698	580	529	342	811	203	701	952	184	800	572	862	516
ACTB	107	2	chr7	5569266	659	2064	984	1847	628	1183	612	702	582	532	344	814	202	703	957	184	804	572	868	524
ACTB	106	2	chr7	5569267	664	2093	990	1887	629	1267	613	707	583	532	342	816	202	704	956	184	804	572	871	527
ACTB	105	2	chr7	5569268	710	2073	1032	1857	636	1458	617	753	593	541	361	863	207	709	965	185	831	578	886	549
ACTB	104	2	chr7	5569269	751	2116	1079	1921	646	1655	627	803	608	550	381	895	213	737	992	188	859	594	910	565
ACTB	103	2	chr7	5569270	808	2136	1146	1941	659	1772	639	898	627	567	409	951	218	762	1019	194	898	620	937	585
ACTB	102	2	chr7	5569271	863	2115	1251	1915	698	1975	666	976	668	614	463	1011	227	821	1095	200	973	664	993	629
ACTB	101	2	chr7	5569272	875	2102	1275	1877	707	2004	671	1006	674	630	478	1024	223	832	1107	209	1002	666	1006	644
ACTB	100	2	chr7	5569273	883	2028	1281	1806	706	2016	652	1006	671	623	480	1029	219	830	1108	203	1001	660	994	634
ACTB	99	2	chr7	5569274	875	1994	1270	1789	693	2009	632	1000	657	612	471	1017	222	817	1096	199	985	650	986	622
ACTB	98	2	chr7	5569275	863	1906	1241	1688	675	2024	616	981	648	586	461	997	221	802	1077	198	977	619	971	612
ACTB	97	2	chr7	5569276	876	1900	1256	1679	680	2060	632	987	657	590	463	1002	223	807	1085	200	987	626	980	620
ACTB	96	2	chr7	5569277	874	1894	1258	1670	674	2064	629	981	657	586	459	997	224	803	1086	201	985	624	965	623
ACTB	95	2	chr7	5569278	871	1867	1259	1653	676	2064	627	978	657	583	457	994	225	802	1087	201	984	624	966	622
ACTB	94	2	chr7	5569279	897	1845	1274	1635	691	2144	668	1007	667	588	471	1018	225	817	1128	201	998	637	996	629
ACTB	93	2	chr7	5569280	902	1845	1279	1629	695	2167	667	1011	666	583	470	1023	225	813	1129	198	995	642	997	630
ACTB	92	2	chr7	5569281	911	1826	1279	1620	700	2209	672	1043	672	589	486	1033	223	819	1145	197	989	654	1004	631
ACTB	91	2	chr7	5569282	998	1821	1330	1605	737	2320	689	1076	706	603	513	1134	223	863	1210	199	1014	685	1032	654
ACTB	90	2	chr7	5569283	1006	1835	1327	1610	722	2326	695	1081	711	603	513	1151	218	862	1193	191	1019	693	1049	656
ACTB	89	2	chr7	5569284	994	1758	1334	1538	719	2315	698	1070	712	610	510	1140	214	859	1198	187	1027	694	1044	650
ACTB	88	2	chr7	5569285	951	1761	1286	1541	676	2272	687	1026	702	593	506	1119	207	830	1147	168	1009	675	1010	639
ACTB	87	2	chr7	5569286	924	1799	1269	1581	655	2237	676	996	685	585	499	1102	200	812	1121	161	983	664	992	627
ACTB	86	2	chr7	5569287	916	1765	1258	1551	652	2208	656	983	678	579	490	1087	194	806	1114	159	979	662	981	616
ACTB	85	2	chr7	5569288	915	1930	1253	1724	651	2194	645	978	678	577	488	1079	193	804	1109	160	978	661	981	614
ACTB	84	2	chr7	5569289	896	1951	1216	1754	638	2124	616	942	661	567	471	1063	192	777	1082	156	947	652	965	585
ACTB	83	2	chr7	5569290	885	1935	1202	1741	635	2104	604	936	654	563	460	1060	192	770	1069	155	935	647	959	582
ACTB	82	2	chr7	5569291	879	1926	1188	1729	631	2092	592	926	650	556	454	1055	193	763	1057	155	922	641	952	579
ACTB	81	2	chr7	5569292	878	1920	1186	1725	628	2090	590	925	648	556	453	1053	194	760	1055	154	920	640	947	578
ACTB	80	2	chr7	5569293	879	1937	1184	1742	625	2090	588	921	647	554	452	1053	194	758	1054	154	919	637	948	578
ACTB	79	2	chr7	5569294	875	2130	1180	1917	620	2086	587	915	645	553	452	1051	193	758	1050	154	917	634	947	577
ACTB	447	3	chr7	5568792	775	6751	1482	5603	738	2359	1546	1547	898	796	818	1096	593	1149	1097	580	1186	792	1190	706
ACTB	446	3	chr7	5568793	782	6581	1493	5425	751	2392	1559	1574	911	793	831	1104	592	1151	1098	585	1188	786	1183	709
ACTB	445	3	chr7	5568794	785	6635	1507	5431	752	2464	1595	1627	909	796	855	1108	593	1157	1111	589	1196	787	1196	712
ACTB	444	3	chr7	5568795	782	6622	1493	5394	734	2486	1597	1627	896	781	852	1101	589	1135	1101	585	1176	786	1190	700
ACTB	443	3	chr7	5568796	822	6861	1528	5593	762	2549	1669	1717	911	789	896	1142	599	1163	1145	630	1201	822	1225	716
ACTB	442	3	chr7	5568797	800	6290	1495	5059	735	2566	1634	1719	875	759	890	1120	579	1121	1121	597	1167	796	1176	700
ACTB	441	3	chr7	5568798	811	6284	1500	5068	737	2583	1631	1737	874	764	893	1126	576	1129	1123	605	1164	797	1177	704
ACTB	440	3	chr7	5568799	811	6295	1503	5094	732	2614	1616	1750	855	742	900	1113	571	1116	1129	583	1146	791	1174	697
ACTB	439	3	chr7	5568800	813	6289	1508	5103	733	2629	1621	1757	856	745	899	1114	570	1119	1133	581	1146	791	1177	697
ACTB	438	3	chr7	5568801	828	6395	1507	5162	737	2678	1628	1769	848	749	904	1124	572	1117	1142	582	1150	797	1178	703
ACTB	437	3	chr7	5568802	822	6405	1503	5176	734	2680	1609	1772	843	742	898	1122	573	1107	1142	576	1144	792	1177	702
ACTB	436	3	chr7	5568803	833	6309	1495	5102	727	2782	1598	1789	837	723	909	1141	561	1087	1149	565	1104	779	1180	698
ACTB	435	3	chr7	5568804	864	6574	1522	5377	741	2885	1614	1823	849	733	920	1160	567	1106	1171	580	1126	791	1203	711
ACTB	434	3	chr7	5568805	888	6610	1536	5382	747	2924	1616	1834	853	734	923	1167	568	1112	1178	584	1127	794	1205	717
ACTB	433	3	chr7	5568806	916	6674	1568	5431	758	3023	1645	1899	874	742	949	1200	565	1145	1207	590	1147	821	1236	735
ACTB	432	3	chr7	5568807	926	6622	1580	5394	752	3106	1655	1918	875	743	953	1202	568	1149	1214	597	1152	827	1242	748
